category_name,median_base_n,median_se_pp
Holiday Destinations,236.9234405,3.199752480468318
Female Fashion,188.7658071235,3.1864200780568814
Sugar confectionery,228.063156,3.121117447690195
Packaged Snacks,253.1811605,2.9492866042312564
Garden Care,222.202323,2.915189832658811
Chocolate,262.662812,2.9067502685625475
Chocolate confectionery,258.634479,2.8560126438178806
Chocolate bars and blocks,259.6094425,2.8393606076260065
Chocolate & Confectionery,269.240443,2.8057578133274776
Online Market Places,254.8625775,2.7172490345008424
Department Stores,291.501526,2.7013563724694967
Floor Cleaning Appliances,233.775753,2.69621823998603
Fresh Milk (Dairy),291.29476550000004,2.6958034341634627
Homeware,236.057231,2.692969985099476
Liquor Retailer,224.9190955,2.6825688354818036
Cafes,284.231113,2.676908580327606
Fast Food,262.508042,2.619550726280174
"Crumbs, Coatings and Sauces",254.773439,2.6107031030782997
Social Media Platforms,246.244355,2.4670864084725115
Kitchenware Retailers,238.115456,2.46697867547346
Furniture & Homeware,222.72274,2.3915151876464544
Retail Establishments,285.49861150000004,2.382220143708948
Asian Foods & Condiments,224.515449,2.371341488950838
Car Insurance,234.870561,2.3668777338856377
Fresh Meat & Poultry,302.9680315,2.347422546498734
Audio Content,230.314708,2.3371396855353774
Laundry Care,241.374364,2.31639645286792
Men's Clothing (Male Only),243.634284,2.26206508451629
Reusable Bottles,246.87978,2.229953936118041
Yoghurt,235.947408,2.2217056438504494
"Mattresses, beds, and pillows",240.431978,2.143381664035345
Female Skincare,219.199121,2.136608348708947
Eco Products,244.330664,2.0243060477945867
Skincare,209.10451799999998,2.0103276736795026
Streetwear,227.382582,1.9842095248954128
Body Care,253.37654,1.963385137238411
Outdoor Apparel,224.453196,1.9052789631879885
Feminine Hygiene Products (Female Only),224.695028,1.9046013564204618
"Coupons, Discounts and Vouchers",239.117017,1.843120602203905
Health & Beauty Retailers,266.57975,1.835248210822473
Skincare (Female Only),200.59823,1.6915591976979265
Haircare,246.127667,1.6365001589430221
Online Outlet Retailer,250.497669,1.5307690384452415
"Chips, Crisps, Crackers",258.354543,1.5295001338113883
Men's Online Health Providers,266.4162983278,1.51567432631903
Household Cleaners (Indoor),247.662775,1.4889060048906222
News or Media Sources,268.15736749999996,1.4347553518856664
Healthy Beverages,276.252576,1.4250221893440618
Breakfast or Health Foods,243.44147149999998,1.200163956733407
Coffee,255.562808,1.1199998004809084
