category_name,n_brands,rho_soc,r_soc,rho_aware,rho_conv
Department Stores,6,1,0.8557008633862189,1,0.9428571428571428
Chocolate & Confectionery,7,0.9642857142857141,0.6699993537521572,0.9285714285714283,0.9285714285714283
"Coupons, Discounts and Vouchers",6,0.9428571428571428,0.9353392981619258,0.8857142857142858,0.4857142857142857
Reusable Bottles,8,0.9285714285714287,0.8033266195695226,0.9285714285714287,0.9285714285714287
Online Market Places,7,0.9285714285714283,0.9147775545230846,0.9642857142857141,0.7499999999999998
Streetwear,6,0.8857142857142858,0.7744683010855553,0.9428571428571428,0.6571428571428571
Fast Food,12,0.8391608391608392,0.7622700060511952,0.7482517482517483,0.5664335664335665
Outdoor Apparel,9,0.8333333333333334,0.3401086690360636,0.8666666666666667,0.48333333333333334
Chocolate,6,0.8285714285714285,0.9242861951760152,1,0.8285714285714285
Furniture & Homeware,10,0.806060606060606,0.7930985834524228,0.7212121212121211,0.6969696969696969
Feminine Hygiene Products (Female Only),5,0.7999999999999998,0.5055606935182633,0.5999999999999999,0.5999999999999999
Fresh Milk (Dairy),5,0.7999999999999998,0.730013911032968,0.29999999999999993,0.5999999999999999
Audio Content,7,0.7857142857142855,0.6043525909943827,0.8928571428571427,0.5714285714285713
Skincare,6,0.7714285714285715,0.7291676691360409,0.7714285714285715,-0.7714285714285715
Body Care,10,0.7454545454545454,0.9011122108885969,0.6363636363636362,0.7818181818181817
Social Media Platforms,10,0.7454545454545454,0.891928536700388,0.5393939393939393,0.6848484848484847
Female Fashion,11,0.7272727272727273,0.801386264645583,0.6272727272727273,0.5545454545454546
Car Insurance,9,0.7166666666666667,0.717702977202444,0.7333333333333333,0.43333333333333335
Chocolate bars and blocks,8,0.6666666666666667,0.7281413878064625,0.6190476190476192,0.4761904761904763
Liquor Retailer,9,0.6666666666666666,0.6558054765554251,0.5666666666666667,0.45
Homeware,11,0.6545454545454545,0.5469667915046772,0.7181818181818183,0.23636363636363636
"Crumbs, Coatings and Sauces",5,0.5999999999999999,0.5570225111398095,0.5999999999999999,0.7999999999999998
Packaged Snacks,7,0.46428571428571414,0.3690145468148889,0.7142857142857142,0.10714285714285711
Laundry Care,11,0.4454545454545455,0.5844114156963014,0.4272727272727273,0.5636363636363636
Online Outlet Retailer,6,0.42857142857142855,0.533840962745325,0.42857142857142855,0.6571428571428571
Floor Cleaning Appliances,7,0.42857142857142844,0.9003697242611778,0.42857142857142844,0.39285714285714274
Skincare (Female Only),27,0.412087912087912,0.43360042832863366,0.39926739926739924,0.362051282051282
"Chips, Crisps, Crackers",4,0.4,0.6244743741424446,0.4,0.8
Eco Products,4,0.4,0.3984055719696518,0.8,-0.8
Health & Beauty Retailers,4,0.4,-0.3035467597254916,0.4,-0.4
Chocolate confectionery,5,0.3999999999999999,0.7792202641994056,0.3999999999999999,0.6999999999999998
Kitchenware Retailers,5,0.3999999999999999,0.3444723339986717,0.3999999999999999,0.6999999999999998
Sugar confectionery,12,0.3846153846153847,0.4044214497162845,0.34965034965034975,0.4615384615384616
Garden Care,8,0.3095238095238096,-0.3863974941601079,0.3095238095238096,0.11904761904761907
Men's Clothing (Male Only),9,0.26666666666666666,0.6760610485980656,0.31666666666666665,0.4666666666666667
Coffee,12,0.2517482517482518,0.3501006511317368,0.2657342657342658,0.49650349650349657
News or Media Sources,5,0.19999999999999996,0.21957201488187866,0.4999999999999999,-0.5999999999999999
Retail Establishments,8,0.11904761904761907,0.25534795501026825,-0.02380952380952381,-0.3095238095238096
Breakfast or Health Foods,9,0.11666666666666667,0.8168183728014909,0.1,0.13333333333333333
"Mattresses, beds, and pillows",5,0.09999999999999998,0.4579353881144878,0.29999999999999993,-0.09999999999999998
Asian Foods & Condiments,14,0.0945054945054945,0.07195362899703141,0.02857142857142857,0.0945054945054945
Female Skincare,8,0.04761904761904762,-0.22571882232373777,0,0.11904761904761907
Household Cleaners (Indoor),14,0.006593406593406593,0.2341499761829845,0.002197802197802198,0.03296703296703296
Yoghurt,10,0.00606060606060606,0.20735838853413552,0.19999999999999996,-0.3454545454545454
Haircare,13,-0.07142857142857142,-0.2044613599272269,-0.027472527472527476,-0.15384615384615385
Cafes,7,-0.14285714285714282,-0.14335787718804027,-0.21428571428571422,-0.07142857142857141
Men's Online Health Providers,12,-0.21678321678321683,0.01925081112995284,-0.2867132867132867,-0.2657342657342658
Healthy Beverages,5,-0.29999999999999993,-0.37859493437915437,-0.29999999999999993,0.5999999999999999
